Date:,10/03/2025
"Start Time:",19:01:35
"Unix Start Time:",1741629695
Duration:,12226
"Num Players:",23
"Num Periods:",12
"Num Parameters:",20
"Logo Path:",https://clprototype.s3.amazonaws.com/b3Z7ZQG28HyMrj1gvKyhJIm8ZiDYWdp8Yi5OFasB.png?X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAWE24RTRBE46FX3JB%2F20250310%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250310T221346Z&X-Amz-SignedHeaders=host&X-Amz-Expires=-1741040026&X-Amz-Signature=681696eab5a0fd4b136e6b0a17aa75397293f31ce29eabca14e1ac140fed8590
,
"Player Name","Period Name","Period Number","Total Duration","Total Distance","HSRD >19,8 km/h (m)","HSRD >25,2 km/h","HSRD >30,0 km/h","HSRE >19,8 km/h","HSRE >25,2 km/h","HSRE >30,0 km/h","Maximum Velocity","Acceleration Efforts >2 m/s/s","Deceleration Efforts >2 m/s/s","Acceleration Efforts >3 m/s/s","Deceleration Efforts >3 m/s/s","Acceleration >4 m/s/s","Deceleration Efforts >4 m/s/s","Total Player Load","Explosive Efforts","Equivalent Distance","High Metabolic Power Efforts","Metabolic Power Distance B4+",
"Jari Schuurman",1,2,00:45:55,6419.61,588.3,99.59,0,32,6,0,29.43,62,53,16,14,1,6,589.84,18,7296.31,216,615.53,
"Jaden Slory",1,2,00:45:55,5297.4,518.07,157.37,24.08,32,6,1,32.23,76,80,23,33,4,8,590.51,17,6425.4,157,597.99,
"Sem Valk",1,2,00:45:55,5169.94,360.48,54.42,16.02,26,3,1,32.67,60,59,22,20,4,5,452.63,14,6109.46,156,483.06,
"Daniel van Vianen",1,2,00:45:55,6109.86,683.37,41.25,0,38,3,0,26.73,59,70,13,19,0,1,580.59,7,7059.57,241,711.03,
"Marouane Afaker",46,3,00:11:49,1596.34,116.7,5.39,0,7,0,0,25.9,28,23,5,14,0,4,161.54,2,1908.13,66,171.34,
"Reda Akmum",46,3,00:48:56,5058.96,245.29,25.91,0,18,2,0,26.49,50,55,4,17,0,1,514.07,11,5822.9,171,343.12,
"Augustin Drakpe",46,3,00:28:04,3026.52,193.27,37.02,0,15,3,0,29,36,37,8,14,2,4,312.96,7,3521.95,106,261.52,
"Devin Haen",46,3,00:48:56,5084.32,368.35,43.85,0,22,2,0,28.23,48,46,18,12,0,4,524.62,16,5787.27,145,425.41,
"Chiel Olde Keizer",46,3,00:11:49,1201.8,98.08,0,0,8,0,0,24.82,14,17,4,5,1,2,115.44,5,1425.54,39,113.67,
"Gabriele Parlanti",46,3,00:28:11,3323.36,262.32,53.23,0,12,2,0,29.68,38,38,11,10,1,6,317.2,9,3822.08,96,316.36,
"Jari Schuurman",46,3,00:36:43,4681.37,419.61,108,0,24,4,0,28.89,52,36,9,10,1,3,421.61,9,5311.28,160,437.69,
"Jaden Slory",46,3,00:48:56,5227.79,312.96,20.16,0,23,2,0,26.78,63,79,20,31,6,7,545.67,18,6191.86,157,473.15,
"Sem Valk",46,3,00:48:56,4705.46,194.42,25.1,0,14,2,0,26.76,43,47,6,14,1,3,387.34,16,5378.72,120,291.81,
"Daniel van Vianen",46,3,00:48:56,5432.75,391.8,27.84,0,24,2,0,26.39,64,79,12,18,1,2,530.33,20,6289.21,197,482.94,
"Kwame Tabiri",60,2,00:36:31,4005.81,339.84,57.64,3.85,21,2,0,29.98,47,46,6,15,1,6,454.27,21,4594.62,139,383.41,
"Sem Verdonk",60,2,00:36:31,4660.72,509.88,102.77,0,29,5,0,28.75,69,74,26,28,4,8,462.59,20,5659.8,170,627.67,
"Leo Seydoux",75,2,00:18:31,2077.57,174.91,40.88,6.06,13,2,0,30.86,26,25,4,11,0,7,207.83,4,2440.38,76,240.83,
"Lawson Sunderland",75,2,00:18:31,2342.48,174.24,15.86,0,8,1,0,27.03,28,21,5,7,0,3,209.53,8,2671.67,81,203.34,
"Tom Sanne",82,2,00:11:44,1247.25,27.56,0,0,3,0,0,22.2,18,20,3,4,0,0,127.54,10,1437.24,47,85.04,
"Tom Sanne",Runs,3,00:13:49,1281.39,668.42,125.26,0,12,6,0,28.1,12,2,5,0,0,0,120.93,0,1420.93,35,258.38,
"Ben Scholte",Runs,2,00:13:49,567.69,209.78,94.88,0,5,4,0,29.67,5,4,4,1,2,0,45.47,0,655.49,14,123.73,
"Leo Seydoux",Runs,3,00:13:49,1286.36,680.31,153.22,0,12,6,0,28.09,12,0,1,0,0,0,102.68,0,1362.12,36,250.5,
"Lawson Sunderland",Runs,3,00:13:49,1233.98,649.74,97.48,0,12,5,0,29.48,13,4,7,0,1,0,103.42,1,1354.45,37,232.57,
"Kwame Tabiri",Runs,3,00:13:49,900.27,452.31,111.43,29.91,9,4,1,31.04,8,2,3,1,1,0,95.5,0,976.5,23,185.65,
"Senne Vugts",Runs,2,00:13:49,1350.06,716.64,124.18,0,11,6,0,29.79,11,3,8,0,1,0,111.68,0,1503.15,34,252.67,
"Igor da Silva",Runs,2,00:13:49,1337.22,737.52,98.75,0,12,4,0,29.53,12,2,8,0,3,0,127.3,0,1456.02,31,213.9,
"Tymen van Ramshorst",Runs,2,00:13:49,1346.68,784.76,125.55,0.82,12,5,0,29.88,12,5,10,0,3,0,94.43,1,1486.24,30,265.55,
"Joep van der Sluijs",Runs,2,00:13:49,1433.73,765.6,127.27,0,13,5,0,28.76,13,4,7,0,3,0,108.05,0,1570.41,33,244.59,
